,Species,2007,2008,2009,2010,2011,2012,2013,2014
NAK,Arctonyx collaris,,,0.006012024,0.034068136,0.034068136,0.018036072,0.006012024,
CAX,Atelocynus microtis,,,,0.02004008,,0.034068136,0.006012024,0.006012024
COU,Atelocynus microtis,,,,,0.068136273,0.052104208,0.006012024,0.006012024
YAN,Atelocynus microtis,,,,,0.006012024,0.006012024,0.006012024,0.018036072
YAS,Atelocynus microtis,,,,,0.283333333,0.35,0.366666667,0.35
BIF,Atherurus africanus,,,0.102204409,0.036072144,0.02004008,0.018036072,,
KRP,Atherurus africanus,,,,,0.766666667,0.766666667,0.683333333,
NNN,Atherurus africanus,,,0.328125,0.2890625,0.375,0.234375,0.34375,
NAK,Atherurus macrourus,,,0.466666667,0.566666667,0.433333333,0.583333333,0.525,
PSH,Atherurus macrourus,,,,,0.21666667,0.25,0.25,0.216666667
BIF,Atilax paludinosus,,,0.034068136,0.006012024,0.006012024,0.006012024,,
KRP,Atilax paludinosus,,,,,0.006012024,0.006012024,0.034068136,
NNN,Atilax paludinosus,,,0.0625,0.21875,0.265625,0.359375,0.375,
UDZ,Atilax paludinosus,,,0.052104208,0.052104208,0.116232465,0.052104208,0.086172345,0.052104208
UDZ,Bdeogale crassicauda,,,0.803278689,0.950819672,0.93442623,0.885245902,0.836065574,0.901639344
KRP,Bdeogale nigripes,,,,,0.068136273,0.070140281,0.034068136,
NNN,Bdeogale nigripes,,,0.21875,0.28125,0.328125,0.328125,0.390625,
BCI,Cabassous centralis,,,,0.068136273,0.036072144,0.052104208,0.036072144,0.02004008
CAX,Cabassous unicinctus,,,,0.02004008,,0.006012024,0.018036072,0.006012024
CSN,Cabassous unicinctus,,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.02004008,0.006012024
YAN,Cabassous unicinctus,,,,,0.006012024,0.006012024,0.006012024,0.018036072
BIF,Canis adustus,,,0.068136273,0.070140281,0.036072144,0.052104208,,
BCI,Canis latrans,,,,0.006012024,0.006012024,0.006012024,0.02004008,0.02004008
NAK,Capricornis milneedwardsii,,,0.052104208,0.02004008,0.006012024,0.006012024,0.018036072,
PSH,Capricornis sumatraensis,,,,,0.04008016,0.01202405,0.032064128,0.036072144
BIF,Caracal aurata,,,0.566666667,0.283333333,0.266666667,0.266666667,,
NNN,Caracal aurata,,,0.71875,0.5625,0.546875,0.515625,0.609375,
NNN,Cephalophus callipygus,,,1,0.984375,0.984375,1,0.96875,
NNN,Cephalophus dorsalis,,,0.90625,0.84375,0.796875,0.859375,0.875,
UDZ,Cephalophus harveyi,,,0.901639344,0.770491803,0.836065574,0.786885246,0.786885246,0.852459016
NNN,Cephalophus leucogaster,,,0.008333333,0.03125,0.125,0.203125,0.21875,
BIF,Cephalophus nigrifrons,,,0.55,0.633333333,0.7,0.65,,
NNN,Cephalophus nigrifrons,,,0.034068136,0.006012024,0.068136273,0.006012024,0.006012024,
KRP,Cephalophus ogilbyi,,,,,0.9,0.9,0.883333333,
BIF,Cephalophus silvicultor,,,0.683333333,0.633333333,0.566666667,0.5,,
KRP,Cephalophus silvicultor,,,,,0.034068136,0.052104208,0.034068136,
NNN,Cephalophus silvicultor,,,0.953125,0.953125,0.953125,0.953125,0.953125,
UDZ,Cephalophus spadix,,,0.836065574,0.868852459,0.836065574,0.770491803,0.655737705,0.62295082
BIF,Cephalophus weynsi,,,0.006012024,0.006012024,0.02004008,0.018036072,,
NNN,Cercocebus agilis,,,0.166332665,0.068136273,0.068136273,0.052104208,0.034068136,
UDZ,Cercocebus sanjei,,,0.68852459,0.836065574,0.868852459,0.786885246,0.770491803,0.803278689
KRP,Cercocebus torquatus,,,,,0.583333333,0.466666667,0.4,
BIF,Cercopithecus lhoesti,,,0.65,0.716666667,0.8,0.783333333,,
BIF,Civettictis civetta,,,0.034068136,0.02004008,0.072144289,0.018036072,,
KRP,Civettictis civetta,,,,,0.006012024,0.006012024,0.018036072,
NNN,Civettictis civetta,,,0.034068136,0.006012024,0.006012024,0.006012024,0.006012024,
UDZ,Civettictis civetta,,,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024
VB,Conepatus semistriatus,0.02004008,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024
BIF,Cricetomys emini,,,0.006012024,0.006012024,0.006012024,0.080160321,,
KRP,Cricetomys emini,,,,,1,0.983333333,0.966666667,
NNN,Cricetomys emini,,,0.008333333,0.03125,0.09375,0.125,0.4375,
BIF,Cricetomys gambianus,,,0.008333333,0.216666667,0.35,0.083333333,,
NNN,Cricetomys gambianus,,,0.515625,0.421875,0.453125,0.421875,0.140625,
UDZ,Cricetomys gambianus,,,0.524590164,0.786885246,0.836065574,0.721311475,0.721311475,0.770491803
UDZ,Crocuta crocuta,,,0.006012024,0.034068136,0.032064128,0.006012024,0.006012024,0.006012024
KRP,Crossarchus obscurus,,,,,0.616666667,0.633333333,0.65,
RNF,Cryptoprocta ferox,,,,0.333333333,0.516666667,0.533333333,0.516666667,
BCI,Cuniculus paca,,,,0.683333333,0.733333333,0.733333333,0.783333333,0.866666667
CAX,Cuniculus paca,,,,0.45,,0.383333333,0.583333333,0.45
COU,Cuniculus paca,,,,,0.5,0.65,0.666666667,0.7
CSN,Cuniculus paca,,0.416666667,0.516666667,0.6,0.516666667,0.533333333,0.6,0.583333333
VB,Cuniculus paca,0.766666667,0.55,0.45,0.366666667,0.333333333,0.3,0.25,0.266666667
YAN,Cuniculus paca,,,,,0.698412698,0.73015873,0.761904762,0.698412698
YAS,Cuniculus paca,,,,,0.716666667,0.733333333,0.783333333,0.85
BBS,Cuon alpinus,,,0.02004008,0.006012024,0.006012024,0.008016032,0.006012024,
NAK,Cuon alpinus,,,0.006012024,0.006012024,0.018036072,0.018036072,0.006012024,
PSH,Cuon alpinus,,,,,0.04008016,0.01202405,0.006012024,0.006012024
YAN,Dasyprocta fuliginosa,,,,,0.698412698,0.619047619,0.793650794,0.73015873
YAS,Dasyprocta fuliginosa,,,,,0.85,0.95,0.816666667,0.9
CAX,Dasyprocta leporina,,,,1,,0.866666667,0.866666667,0.866666667
CSN,Dasyprocta leporina,,0.833333333,0.816666667,0.833333333,0.833333333,0.783333333,0.9,0.766666667
BCI,Dasyprocta punctata,,,,1,0.983333333,0.916666667,0.933333333,0.983333333
COU,Dasyprocta punctata,,,,,0.633333333,0.616666667,0.733333333,0.733333333
VB,Dasyprocta punctata,0.683333333,0.4,0.333333333,0.366666667,0.433333333,0.283333333,0.266666667,0.25
CAX,Dasypus kappleri,,,,0.366666667,,0.683333333,0.466666667,0.266666667
COU,Dasypus kappleri,,,,,0.25,0.416666667,0.366666667,0.366666667
CSN,Dasypus kappleri,,0.7,0.416666667,0.116666667,0.266666667,0.133333333,0.283333333,0.133333333
YAN,Dasypus kappleri,,,,,0.122244489,0.02004008,0.02004008,0.052104208
YAS,Dasypus kappleri,,,,,0.116666667,0.25,0.366666667,0.266666667
BCI,Dasypus novemcinctus,,,,0.666666667,0.683333333,0.6,0.6,0.633333333
CAX,Dasypus novemcinctus,,,,0.416666667,,0.3,0.433333333,0.466666667
COU,Dasypus novemcinctus,,,,,0.35,0.3,0.366666667,0.333333333
CSN,Dasypus novemcinctus,,0.516666667,0.383333333,0.466666667,0.633333333,0.55,0.633333333,0.6
VB,Dasypus novemcinctus,0.75,0.583333333,0.4,0.333333333,0.266666667,0.316666667,0.333333333,0.333333333
YAN,Dasypus novemcinctus,,,,,0.571428571,0.634920635,0.650793651,0.682539683
YAS,Dasypus novemcinctus,,,,,0.766666667,0.6,0.616666667,0.833333333
BCI,Didelphis marsupialis,,,,0.566666667,0.75,0.5,0.65,0.616666667
CAX,Didelphis marsupialis,,,,0.433333333,,0.416666667,0.533333333,0.4
COU,Didelphis marsupialis,,,,,0.883333333,0.675,0.516666667,0.266666667
CSN,Didelphis marsupialis,,0.266666667,0.366666667,0.45,0.316666667,0.383333333,0.366666667,0.35
VB,Didelphis marsupialis,0.122244489,0.118236473,0.056112224,0.054108216,0.118236473,0.022044088,0.052104208,0.02004008
YAN,Didelphis marsupialis,,,,,0.02004008,0.052104208,0.172344689,0.034068136
YAS,Didelphis marsupialis,,,,,0.02004008,0.006012024,0.066132265,0.066132265
BBS,Echinosorex gymnura,,,0.02004008,0.034068136,0.214428858,0.044088176,0.006012024,
PSH,Echinosorex gymnura,,,,,0.10320641,0.01202405,0.032064128,0.036072144
BCI,Eira barbara,,,,0.5,0.633333333,0.633333333,0.666666667,0.616666667
CAX,Eira barbara,,,,0.366666667,,0.533333333,0.45,0.491666667
COU,Eira barbara,,,,,0.2,0.266666667,0.333333333,0.316666667
CSN,Eira barbara,,0.086172345,0.052104208,0.074148297,0.074148297,0.006012024,0.074148297,0.152304609
VB,Eira barbara,0.034068136,0.02004008,0.006012024,0.054108216,0.068136273,0.006012024,0.036072144,0.02004008
YAN,Eira barbara,,,,,0.507936508,0.571428571,0.603174603,0.571428571
YAS,Eira barbara,,,,,0.566666667,0.633333333,0.583333333,0.6
BBS,Elephas maximus,,,0.02004008,0.006012024,0.04008016,0.044088176,0.042084168,
RNF,Eupleres goudotii,,,,0.034068136,0.120240481,0.006012024,0.018036072,
RNF,Fossa fossana,,,,0.666666667,0.633333333,0.683333333,0.383333333,
KRP,Funisciurus anerythrus,,,,,0.216666667,0.266666667,0.083333333,
NNN,Funisciurus lemniscatus,,,0.102204409,0.006012024,0.006012024,0.006012024,0.006012024,
KRP,Funisciurus leucogenys,,,,,0.65,0.516666667,0.6,
KRP,Funisciurus pyrropus,,,,,0.333333333,0.083333333,0.066666667,
NNN,Funisciurus pyrropus,,,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,
BCI,Galictis vittata,,,,0.006012024,0.006012024,0.006012024,0.02004008,0.006012024
YAS,Galictis vittata,,,,,0.02004008,0.006012024,0.006012024,0.006012024
RNF,Galidia elegans,,,,0.7,0.4,0.283333333,0.25,
RNF,Galidictis fasciata,,,,0.052104208,0.150300601,0.066132265,0.052104208,
BIF,Genetta servalina,,,0.616666667,0.383333333,0.3,0.25,,
KRP,Genetta servalina,,,,,1,1,0.983333333,
NNN,Genetta servalina,,,0.3125,0.390625,0.421875,0.484375,0.546875,
UDZ,Genetta servalina,,,0.770491803,0.786885246,0.62295082,0.442622951,0.557377049,0.442622951
BIF,Gorilla beringei,,,0.068136273,0.070140281,0.036072144,0.052104208,,
NNN,Gorilla gorilla,,,0.984375,0.953125,0.75,0.625,0.875,
BBS,Helarctos malayanus,,,0.068136273,0.118236473,0.058116232,0.044088176,0.062124248,
