Species,Body Mass,Graze,Browse,Fruit/Seeds,Invertebrates,Vertebrates,Social,Scansorial,Diurnal,Crepuscular,Nocturnal,Litter Size
Tenrec ecaudatus,1.444,0,0,1,1,1,0,0,0,0,1,19
Arctonyx collaris,8.342,0,0,1,1,0,0,0,0,0,1,3.16
Atelocynus microtis,8.93,0,0,0,1,1,0,0,1,1,1,2.5
Atilax paludinosus,3.49,0,0,0,1,1,0,0,0,0,1,2
Bdeogale crassicauda,1.38,0,0,0,1,1,0,0,0,0,1,2.5
Bdeogale nigripes,1.9,0,0,0,1,1,0,0,0,0,1,1
Canis adustus,10.29,0,0,1,0,1,1,0,0,0,1,4
Canis latrans,13.6,0,0,0,0,1,1,0,1,1,1,5.66
Caracal aurata,11.17,0,0,0,0,1,0,1,0,1,1,2
Civettictis civetta,13.45,0,0,1,1,0,0,1,0,0,1,2.5
Conepatus semistriatus,1.2,0,0,1,1,0,0,0,0,0,1,3.5
Crocuta crocuta,65.03,0,0,0,0,1,1,0,0,1,1,2
Cryptoprocta ferox,9.5,0,0,0,0,1,0,1,0,1,1,3
Cuon alpinus,17.17,0,0,0,0,1,1,0,1,0,0,4.25
Eira barbara,3.91,0,0,0,1,1,1,1,1,0,0,2
Eupleres goudotii,2.93,0,0,0,1,0,0,0,0,1,1,1.5
Fossa fossana,1.81,0,0,0,0,1,0,1,0,0,1,1
Galictis vittata,2.58,0,0,0,0,1,1,0,1,1,1,2.1
Genetta servalina,1.4,0,0,1,1,1,0,1,0,0,1,1.5
Helarctos malayanus,51.5,0,0,1,1,0,0,1,0,0,1,1.25
Hemigalus derbyanus,1.64,0,0,0,1,0,0,0,0,0,1,1.73
Herpestes brachyurus,1.4,0,0,0,1,0,0,0,1,0,0,3.5
Herpestes naso,3.03,0,0,0,1,0,0,0,1,0,0,3
Herpestes urva,2.19,0,0,0,1,0,0,0,1,0,0,2.99
Leopardus pardalis,11.9,0,0,0,0,1,0,1,0,1,1,1.63
Leopardus tigrinus,2.1,0,0,0,0,1,0,1,1,1,1,2
Leopardus wiedii,3.25,0,0,0,0,1,0,1,1,1,1,1.5
