Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Cuon alpinus,17.17,Carnivore,Gregarious,terrestrial,Diurnal,4.25
Echinosorex gymnura,0.917,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.95
Elephas maximus,3240,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Helarctos malayanus,51.5,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.25
Hemigalus derbyanus,1.64,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.73
Herpestes brachyurus,1.4,Insectivore,Solitary/pairs,terrestrial,Diurnal,3.5
Hystrix brachyura,8,Browser/Frugivore,Family,terrestrial,Nocturnal,1.41
Lariscus insignis,0.175,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,2
Macaca nemestrina,7.19,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Manis javanica,4.86,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Muntiacus montanus,13.5,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Muntiacus muntjak,20.95,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Panthera tigris,163,Carnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,2.58
Pardofelis marmorata,3.17,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Pardofelis temminckii,10.65,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.11
Prionailurus bengalensis,3.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2.5
Prionodon linsang,0.69,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.27
Rusa unicolor,202.25,Browser Grazer,Coalitions,terrestrial,Nocturnal/Crepuscular,1
Sus scrofa,84.5,Browser,Coalitions,terrestrial,Non-restricted,5.81
Tapirus indicus,302,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Tragulus javanicus,1.69,Browser/Frugivore,Solitary/pairs,terrestrial,Diurnal,1
Tragulus kanchil,1.95,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Tragulus napu,5.24,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1
Trichys fasciculata,1.825,Frugivore/Seed Predator,Family,scansorial,Nocturnal,1.5
Tupaia tana,0.19,Insectivore,Solitary/pairs,scansorial,Diurnal,2.36
