Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Helarctos malayanus,51.5,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.25
Panthera tigris,163,Carnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,2.58
Dicerorhinus sumatrensis,1310,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Elephas maximus,3240,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Tapirus indicus,302,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Capricornis sumatraensis,93,Browser,Solitary/pairs,terrestrial,Crepuscular,1
Neofelis diardi,16.1,Carnivore,Solitary/pairs,scansorial,Non-restricted,2.13
Tupaia glis,0.136,Omnivore,Solitary/pairs,scansorial,Diurnal,2
Tragulus napu,5.24,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1
Herpestes brachyurus,1.4,Insectivore,Solitary/pairs,terrestrial,Diurnal,3.5
Mustela nudipes,0.569,Carnivore,Solitary/pairs,terrestrial,Non-restricted,3.99
Leopoldamys sabanus,0.363,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.86
Martes flavigula,2.85,Omnivore,Coalitions,scansorial,Non-restricted,2.5
Rusa unicolor,202.25,Browser Grazer,Coalitions,terrestrial,Nocturnal/Crepuscular,1
Viverra tangalunga,7.68,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.96
Hemigalus derbyanus,1.64,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.73
Tragulus kanchil,1.95,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Rhinosciurus laticaudatus,0.225,Insectivore,Solitary/pairs,terrestrial,Diurnal,1.32
Sundasciurus hippurus,0.369,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,3
Lariscus insignis,0.175,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,2
Sundamys muelleri,0.328,Omnivore,Solitary/pairs,scansorial,Nocturnal,3.8
Trichys fasciculata,1.825,Frugivore/Seed Predator,Family,scansorial,Nocturnal,1.5
Echinosorex gymnura,0.917,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.95
Sus scrofa,84.5,Browser,Coalitions,terrestrial,Non-restricted,5.81
Rattus rattus,0.172,Omnivore,Gregarious,scansorial,Nocturnal,6.6
Prionailurus bengalensis,3.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2.5
Tupaia tana,0.19,Insectivore,Solitary/pairs,scansorial,Diurnal,2.36
Mydaus javanensis,2.5,Omnivore,Solitary/pairs,terrestrial,Nocturnal,2.5
Cuon alpinus,17.17,Carnivore,Gregarious,terrestrial,Diurnal,4.25
Muntiacus muntjak,20.95,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Maxomys surifer,0.182,Omnivore,Solitary/pairs,scansorial,Nocturnal,3.55
Macaca nemestrina,7.19,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Rhizomys sumatrensis,2.25,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4.47
Rattus norvegicus,0.328,Omnivore,Gregarious,scansorial,Nocturnal/Crepuscular,9.5
Hystrix brachyura,8,Browser/Frugivore,Family,terrestrial,Nocturnal,1.41
Manis javanica,4.86,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Muntiacus montanus,13.5,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Pardofelis marmorata,3.17,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Pardofelis temminckii,10.65,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.11
Prionodon linsang,0.69,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.27
Tragulus javanicus,1.69,Browser/Frugivore,Solitary/pairs,terrestrial,Diurnal,1
