Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Tayassu pecari,31.2,Browser/Frugivore,Gregarious,terrestrial,Non-restricted,2
Procyon cancrivorus,6.83,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.81
Cabassous centralis,3.16,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Hoplomys gymnurus,0.4,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,2.1
Dasyprocta punctata,3.6,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1.9
Proechimys semispinosus,0.361,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.5
Puma concolor,51.6,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Panthera onca,92.45,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Philander opossum,0.421,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.5
Sciurus granatensis,0.25,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.9
Galictis vittata,2.58,Carnivore,Family,terrestrial,Non-restricted,2.1
Tapirus bairdii,240,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Mazama temama,22.8,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1.2
Dasypus novemcinctus,4.2,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Didelphis marsupialis,1.09,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Pecari tajacu,18.5,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
Nasua narica,4.03,Omnivore,Gregarious,scansorial,Diurnal,4.17
Eira barbara,3.91,Zoophage,Coalitions,scansorial,Diurnal,2
Leopardus wiedii,3.25,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Metachirus nudicaudatus,0.375,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
Cuniculus paca,8.28,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,1.5
Leopardus pardalis,11.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Speothos venaticus,6.16,Carnivore,Family,terrestrial,Non-restricted,4.05
Sylvilagus brasiliensis,0.92,Browser Grazer,Solitary/pairs,terrestrial,Nocturnal,1.9
Urocyon cinereoargenteus,4.42,Omnivore,Family groups,scansorial,Nocturnal/Crepuscular,3.8
Odocoileus virginianus,55.5,Browser,Family,terrestrial,Crepuscular,1.7
Procyon lotor,5.525,Omnivore,Solitary/pairs,scansorial,Nocturnal,4
Mustela freneta,0.171,Carnivore,Solitary/pairs,scansorial,Non-restricted,6.35
Canis latrans,13.6,Carnivore,Family,terrestrial,Non-restricted,5.66
Puma yagouaroundi,8.4,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Myrmecophaga tridactyla,28.2,Insectivore,Solitary/pairs,terrestrial,Non-restricted,1
