Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Atherurus africanus,2.89,Browser/Frugivore,Family,scansorial,Nocturnal,1.36
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Canis adustus,10.29,Omnivore,Coalitions,terrestrial,Nocturnal,4
Caracal aurata,11.17,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Cephalophus nigrifrons,14.8,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Cephalophus silvicultor,62,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Cephalophus weynsi,16.5,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Cercopithecus lhoesti,5.6,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Cricetomys emini,1.24,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,3
Cricetomys gambianus,1.235,Frugivore/Seed Predator,Coalitions,scansorial,Nocturnal,3.11
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Gorilla beringei,132,Browser,Gregarious,scansorial,Diurnal,1
Leptailurus serval,12.72,Carnivore,Solitary/pairs,terrestrial,Non-restricted,2.5
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Mellivora capensis,9.19,Carnivore,Solitary/pairs,terrestrial,Non-restricted,1
Pan troglodytes,38.8,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Papio anubis,19.5,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Phataginus tricuspis,2.3,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Potamochoerus larvatus,76.6,Browser/Frugivore,Family,terrestrial,Nocturnal,2.5
Thryonomys gregorianus,3.88,Grazer,Coalitions,terrestrial,Nocturnal,2.91
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
Tragelaphus scriptus,42.3,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Tragelaphus spekii,79.83,Browser Grazer,Family,terrestrial,Non-restricted,1
