Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Sciurus aestuans,0.224,Frugivore/Seed predator,Solitary/pairs,scansorial,Diurnal,2.3
Proechimys goeldii,0.285,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.5
Proechimys roberti,0.315,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.4
Tapirus terrestris,183,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Galictis vittata,2.58,Carnivore,Family,terrestrial,Non-restricted,2.1
Cabassous unicinctus,4.75,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Leopardus tigrinus,2.1,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Speothos venaticus,6.16,Carnivore,Family,terrestrial,Non-restricted,4.05
Myrmecophaga tridactyla,28.2,Insectivore,Solitary/pairs,terrestrial,Non-restricted,1
Mazama nemorivaga,14.75,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Cuniculus paca,8.28,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,1.5
Panthera onca,92.45,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Procyon cancrivorus,6.83,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.81
Priodontes maximus,34.75,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.29
Nasua nasua,4.15,Omnivore,Gregarious,scansorial,Diurnal,3.84
Mazama americana,35.27,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.26
Leopardus pardalis,11.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Philander opossum,0.421,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.5
Tayassu pecari,31.2,Browser/Frugivore,Gregarious,terrestrial,Non-restricted,2
Leopardus wiedii,3.25,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Puma yagouaroundi,8.4,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Dasypus kappleri,9.7,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,5.6
Eira barbara,3.91,Zoophage,Coalitions,scansorial,Diurnal,2
Mustela africana,0.25,Carnivore,Coalitions,scansorial,Non-restricted,6.35
Pecari tajacu,18.5,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
Dasypus septemcinctus,1.51,Insectivore,Solitary/pairs,terrestrial,Diurnal,6
Euphractus sexcinctus,4.82,Omnivore,Solitary/pairs,terrestrial,Non-restricted,1.92
Myoprocta pratti,1,Frugivore/Seed Predator,Family,terrestrial,Diurnal,2
Didelphis marsupialis,1.09,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Dasypus novemcinctus,4.2,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Puma concolor,51.6,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Atelocynus microtis,8.93,Zoophage,Solitary/pairs,terrestrial,Non-restricted,2.5
Dasyprocta leporina,2.86,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1.78
Metachirus nudicaudatus,0.375,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
