Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Atherurus africanus,2.89,Browser/Frugivore,Family,scansorial,Nocturnal,1.36
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Bdeogale nigripes,1.9,Zoophage,Solitary/pairs,terrestrial,Nocturnal,1
Cephalophus ogilbyi,18.6,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Cephalophus silvicultor,62,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Cercocebus torquatus,8.3,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Cricetomys emini,1.24,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,3
Crossarchus obscurus,0.99,Insectivore,Gregarious,terrestrial,Diurnal,2.5
Funisciurus anerythrus,0.217,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.5
Funisciurus leucogenys,0.25,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.52
Funisciurus pyrropus,0.237,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.26
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Herpestes naso,3.03,Insectivore,Solitary/pairs,terrestrial,Diurnal,3
Hyemoschus aquaticus,10.83,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.13
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Mandrillus leucophaeus,14.6,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Phataginus tricuspis,2.3,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Philantomba monticola,5.55,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Potamochoerus porcus,79,Browser/Frugivore,Family,terrestrial,Nocturnal/Crepuscular,3.25
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
