Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Funisciurus leucogenys,0.25,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.52
Cephalophus ogilbyi,18.6,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Mandrillus leucophaeus,14.6,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Genetta cristata,1.4,Zoophage,Solitary/pairs,scansorial,Crepuscular,2
Cercocebus torquatus,8.3,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Pan troglodytes,38.8,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Crossarchus platycephalus,1.108,Insectivore,Gregarious,scansorial,Non-restricted,4
Diceros bicornis,1049.95,Browser,Solitary/pairs,terrestrial,Diurnal,1
Funisciurus pyrropus,0.237,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.26
Potamochoerus porcus,79,Browser/Frugivore,Family,terrestrial,Nocturnal/Crepuscular,3.25
Atherurus africanus,2.89,Browser/Frugivore,Family,scansorial,Nocturnal,1.36
Xerus erythropus,0.537,Browser/Frugivore,Coalitions,terrestrial,Diurnal,3.73
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Cephalophus silvicultor,62,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Cricetomys emini,1.24,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,3
Bdeogale nigripes,1.9,Zoophage,Solitary/pairs,terrestrial,Nocturnal,1
Genetta thierryi,1.4,Zoophage,Solitary/pairs,scansorial,Crepuscular,2
Mellivora capensis,9.19,Carnivore,Solitary/pairs,terrestrial,Non-restricted,1
Rattus rattus,0.172,Omnivore,Gregarious,scansorial,Nocturnal,6.6
Syncerus caffer,486.3,Grazer,Gregarious,terrestrial,Non-restricted,1
Hyemoschus aquaticus,10.83,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.13
Cephalophus dorsalis,10.3,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1
Herpestes naso,3.03,Insectivore,Solitary/pairs,terrestrial,Diurnal,3
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Herpestes ichneumon,3.17,Carnivore,Coalitions,terrestrial,Non-restricted,3.05
Caracal aurata,11.17,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
Tragelaphus scriptus,42.3,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Tragelaphus spekii,79.83,Browser Grazer,Family,terrestrial,Non-restricted,1
Philantomba monticola,5.55,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Genetta maculata,1.88,Zoophage,Solitary/pairs,scansorial,Nocturnal,2.51
Crossarchus obscurus,0.99,Insectivore,Gregarious,terrestrial,Diurnal,2.5
Funisciurus anerythrus,0.217,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.5
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Phataginus tricuspis,2.3,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Smutsia gigantea,32.5,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
