Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Arctonyx collaris,8.342,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.16
Atherurus macrourus,2.33,Browser/Frugivore,Family,scansorial,Nocturnal,1.38
Capricornis milneedwardsii,102.97,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Cuon alpinus,17.17,Carnivore,Gregarious,terrestrial,Diurnal,4.25
Helarctos malayanus,51.5,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.25
Herpestes urva,2.19,Insectivore,Solitary/pairs,terrestrial,Diurnal,2.99
Hystrix brachyura,8,Browser/Frugivore,Family,terrestrial,Nocturnal,1.41
Leopoldamys sabanus,0.363,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.86
Macaca arctoides,9.7,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Manis javanica,4.86,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Martes flavigula,2.85,Omnivore,Coalitions,scansorial,Non-restricted,2.5
Melogale personata,1.93,Omnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,2.75
Muntiacus muntjak,20.95,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Pardofelis marmorata,3.17,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Pardofelis temminckii,10.65,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.11
Prionailurus bengalensis,3.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2.5
Sus scrofa,84.5,Browser,Coalitions,terrestrial,Non-restricted,5.81
Tragulus javanicus,1.69,Browser/Frugivore,Solitary/pairs,terrestrial,Diurnal,1
Tragulus kanchil,1.95,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Viverra zibetha,8.58,Omnivore,Solitary/pairs,terrestrial,Nocturnal,2.95
