Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Helarctos malayanus,51.5,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.25
Ursus tibetanus,101.8,Frugivore/Seed predator,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Panthera tigris,163,Carnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,2.58
Bos gaurus,800,Grazer/Browser,Gregarious,terrestrial,Non-restricted,1
Pardofelis temminckii,10.65,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.11
Pardofelis marmorata,3.17,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Muntiacus vuquangensis,37,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Prionailurus viverrinus,8.83,Carnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,2
Atherurus africanus,2.89,Browser/Frugivore,Family,scansorial,Nocturnal,1.36
Muntiacus truongsonensis,15,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Tragulus kanchil,1.95,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Muntiacus rooseveltorum,17.8,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Viverra megaspila,9.06,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.45
Dremomys rufigenis,0.198,Omnivore,Solitary/pairs,scansorial,Diurnal,3.6
Leopoldamys sabanus,0.363,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.86
Berylmys berdmorei,0.2,Grazer/Browser,Solitary/pairs,terrestrial,Nocturnal,3.5
Lepus peguensis,2.28,Grazer/Browser,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,3.5
Menetes berdmorei,0.179,Frugivore/Seed predator,Solitary/pairs,terrestrial,Crepuscular,2
Rhizomys pruinosus,2.23,Grazer/Browser,Solitary/pairs,terrestrial,Nocturnal,2.25
Rhizomys sumatrensis,2.25,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4.47
Rattus losea,0.105,Omnivore,Solitary/pairs,terrestrial,Nocturnal,7.25
Maxomys surifer,0.182,Omnivore,Solitary/pairs,scansorial,Nocturnal,3.55
Melogale personata,1.93,Omnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,2.75
Tupaia belangeri,0.174,Omnivore,Solitary/pairs,scansorial,Diurnal,3
Herpestes urva,2.19,Insectivore,Solitary/pairs,terrestrial,Diurnal,2.99
Manis javanica,4.86,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Viverra zibetha,8.58,Omnivore,Solitary/pairs,terrestrial,Nocturnal,2.95
Rattus rattus,0.172,Omnivore,Gregarious,scansorial,Nocturnal,6.6
Canis aureus,10.34,Carnivore,Family groups,terrestrial,Non-restricted,4.97
Sus scrofa,84.5,Browser,Coalitions,terrestrial,Non-restricted,5.81
Herpestes javanicus,0.833,Zoophage,Solitary/pairs,terrestrial,Diurnal,3.11
Bandicota indica,0.667,Omnivore,Gregarious,terrestrial,Nocturnal,6.06
Macaca mulatta,6.73,Frugivore/Seed predator,Gregarious,scansorial,Diurnal,1
Muntiacus vaginalis,20.95,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Rusa unicolor,202.25,Browser Grazer,Coalitions,terrestrial,Nocturnal/Crepuscular,1
Viverricula indica,2.99,Zoophage,Solitary/pairs,scansorial,Nocturnal,3.89
Prionailurus bengalensis,3.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2.5
Arctonyx collaris,8.342,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.16
Melogale moschata,0.806,Insectivore,Coalitions,terrestrial,Nocturnal,2.25
Mustela kathiah,0.264,Carnivore,Solitary/pairs,terrestrial,Diurnal,5.1
Leopoldamys edwardsi,0.325,Frugivore/Seed predator,Solitary/pairs,scansorial,Nocturnal,1.94
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Cuon alpinus,17.17,Carnivore,Gregarious,terrestrial,Diurnal,4.25
Capricornis milneedwardsii,102.97,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Manis pentadactyla,4.67,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Martes flavigula,2.85,Omnivore,Coalitions,scansorial,Non-restricted,2.5
Mustela strigidorsa,1.5,Carnivore,Solitary/pairs,terrestrial,Non-restricted,3.99
Macaca arctoides,9.7,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Neofelis nebulosa,16.1,Carnivore,Solitary/pairs,scansorial,Non-restricted,2.13
Atherurus macrourus,2.33,Browser/Frugivore,Family,scansorial,Nocturnal,1.38
Hystrix brachyura,8,Browser/Frugivore,Family,terrestrial,Nocturnal,1.41
Muntiacus muntjak,20.95,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Tragulus javanicus,1.69,Browser/Frugivore,Solitary/pairs,terrestrial,Diurnal,1
