Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Atherurus africanus,2.89,Browser/Frugivore,Family,scansorial,Nocturnal,1.36
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Bdeogale nigripes,1.9,Zoophage,Solitary/pairs,terrestrial,Nocturnal,1
Caracal aurata,11.17,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Cephalophus callipygus,19.57,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Cephalophus dorsalis,10.3,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1
Cephalophus leucogaster,15.93,Browser/Frugivore,Solitary/pairs,terrestrial,Diurnal,1
Cephalophus nigrifrons,14.8,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Cephalophus silvicultor,62,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Cercocebus agilis,8.04,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Cricetomys emini,1.24,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,3
Cricetomys gambianus,1.235,Frugivore/Seed Predator,Coalitions,scansorial,Nocturnal,3.11
Funisciurus lemniscatus,0.133,Omnivore,Solitary/pairs,scansorial,Diurnal,1.8
Funisciurus pyrropus,0.237,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.26
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Gorilla gorilla,126,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Herpestes naso,3.03,Insectivore,Solitary/pairs,terrestrial,Diurnal,3
Hyemoschus aquaticus,10.83,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.13
Hylochoerus meinertzhageni,157.7,Browser Grazer,Family,terrestrial,Nocturnal,3
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Mellivora capensis,9.19,Carnivore,Solitary/pairs,terrestrial,Non-restricted,1
Orycteropus afer,63.67,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Pan troglodytes,38.8,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Phataginus tricuspis,2.3,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Philantomba monticola,5.55,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Potamochoerus porcus,79,Browser/Frugivore,Family,terrestrial,Nocturnal/Crepuscular,3.25
Smutsia gigantea,32.5,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Syncerus caffer,486.3,Grazer,Gregarious,terrestrial,Non-restricted,1
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
Tragelaphus eurycerus,259.4,Browser,Gregarious,terrestrial,Non-restricted,1
Tragelaphus spekii,79.83,Browser Grazer,Family,terrestrial,Non-restricted,1
