Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Atherurus macrourus,2.33,Browser/Frugivore,Family,scansorial,Nocturnal,1.38
Capricornis sumatraensis,93,Browser,Solitary/pairs,terrestrial,Crepuscular,1
Cuon alpinus,17.17,Carnivore,Gregarious,terrestrial,Diurnal,4.25
Echinosorex gymnura,0.917,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.95
Helarctos malayanus,51.5,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.25
Hemigalus derbyanus,1.64,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.73
Herpestes brachyurus,1.4,Insectivore,Solitary/pairs,terrestrial,Diurnal,3.5
Hystrix brachyura,8,Browser/Frugivore,Family,terrestrial,Nocturnal,1.41
Lariscus insignis,0.175,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,2
Leopoldamys sabanus,0.363,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.86
Macaca nemestrina,7.19,Frugivore/Seed Predator,Gregarious,scansorial,Diurnal,1
Manis javanica,4.86,Insectivore,Solitary/pairs,scansorial,Nocturnal,1
Martes flavigula,2.85,Omnivore,Coalitions,scansorial,Non-restricted,2.5
Muntiacus muntjak,20.95,Browser,Solitary/pairs,terrestrial,Non-restricted,1
Neofelis nebulosa,16.1,Carnivore,Solitary/pairs,scansorial,Non-restricted,2.13
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Pardofelis marmorata,3.17,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Prionailurus bengalensis,3.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2.5
Prionailurus planiceps,2.83,Carnivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,3
Prionodon linsang,0.69,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.27
Rhinosciurus laticaudatus,0.225,Insectivore,Solitary/pairs,terrestrial,Diurnal,1.32
Rhizomys sumatrensis,2.25,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4.47
Rusa unicolor,202.25,Browser Grazer,Coalitions,terrestrial,Nocturnal/Crepuscular,1
Sundasciurus hippurus,0.369,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,3
Sus scrofa,84.5,Browser,Coalitions,terrestrial,Non-restricted,5.81
Tapirus indicus,302,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Tragulus kanchil,1.95,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Tragulus napu,5.24,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1
Tupaia glis,0.136,Omnivore,Solitary/pairs,scansorial,Diurnal,2
Viverra zibetha,8.58,Omnivore,Solitary/pairs,terrestrial,Nocturnal,2.95
