Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Cryptoprocta ferox,9.5,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,3
Eupleres goudotii,2.93,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1.5
Fossa fossana,1.81,Carnivore,Solitary/pairs,scansorial,Nocturnal,1
Galidia elegans,0.84,Carnivore,Family,scansorial,Diurnal,2
Galidictis fasciata,0.59,Carnivore,Solitary/pairs,terrestrial,Nocturnal,1
Hemicentetes nigriceps,0.115,Insectivore,Solitary/pairs,terrestrial,Nocturnal,2.05
Hemicentetes semispinosus,0.2025,Insectivore,Family,terrestrial,Non-restricted,6.45
Nesomys rufus,0.164,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1.5
Potamochoerus larvatus,76.6,Browser/Frugivore,Family,terrestrial,Nocturnal,2.5
Rattus rattus,0.172,Omnivore,Gregarious,scansorial,Nocturnal,6.6
Setifer setosus,0.27,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3
Tenrec ecaudatus,1.444,Omnivore,Solitary/pairs,terrestrial,Nocturnal,19
