Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Bdeogale crassicauda,1.38,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2.5
Cephalophus harveyi,11.5,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Cephalophus spadix,56.8,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Cercocebus sanjei,8,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Cricetomys gambianus,1.235,Frugivore/Seed Predator,Coalitions,scansorial,Nocturnal,3.11
Crocuta crocuta,65.03,Carnivore,Gregarious,terrestrial,Nocturnal/Crepuscular,2
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Hystrix africaeaustralis,16,Browser/Frugivore,Family,terrestrial,Nocturnal,1.87
Leptailurus serval,12.72,Carnivore,Solitary/pairs,terrestrial,Non-restricted,2.5
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Mellivora capensis,9.19,Carnivore,Solitary/pairs,terrestrial,Non-restricted,1
Mungos mungo,1.28,Insectivore,Gregarious,terrestrial,Diurnal,2.45
Nesotragus moschatus,5.7,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Papio cynocephalus,18.5,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Petrodromus tetradactylus,0.209,Insectivore,Solitary/pairs,terrestrial,Crepuscular,1.1
Potamochoerus larvatus,76.6,Browser/Frugivore,Family,terrestrial,Nocturnal,2.5
Rhynchocyon cirnei,0.453,Insectivore,Solitary/pairs,terrestrial,Diurnal,1.96
Rhynchocyon udzungwensis,0.71,Insectivore,Solitary/pairs,terrestrial,Diurnal,1.33
Syncerus caffer,486.3,Grazer,Gregarious,terrestrial,Non-restricted,1
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
Tragelaphus scriptus,42.3,Browser,Solitary/pairs,terrestrial,Nocturnal,1
,,,,,,
,,,,,,
