Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Atelerix albiventris,0.376,Insectivore,Solitary/pairs,terrestrial,Nocturnal,3.05
Genetta genetta,1.83,Zoophage,Solitary/pairs,scansorial,Nocturnal,2
Mellivora capensis,9.19,Carnivore,Solitary/pairs,terrestrial,Non-restricted,1
Cercocebus sanjei,8,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Rhynchocyon udzungwensis,0.71,Insectivore,Solitary/pairs,terrestrial,Diurnal,1.33
Cephalophus spadix,56.8,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Papio cynocephalus,18.5,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Cricetomys gambianus,1.235,Frugivore/Seed Predator,Coalitions,scansorial,Nocturnal,3.11
Cephalophus harveyi,11.5,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Diceros bicornis,1049.95,Browser,Solitary/pairs,terrestrial,Diurnal,1
Rattus rattus,0.172,Omnivore,Gregarious,scansorial,Nocturnal,6.6
Rhynchocyon cirnei,0.453,Insectivore,Solitary/pairs,terrestrial,Diurnal,1.96
Paraxerus flavovittis,0.16,Frugivore/Seed predator,Solitary/pairs,scansorial,Diurnal,1.22
Helogale parvula,0.276,Insectivore,Gregarious,terrestrial,Diurnal,3.15
Bdeogale crassicauda,1.38,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2.5
Syncerus caffer,486.3,Grazer,Gregarious,terrestrial,Non-restricted,1
Thryonomys gregorianus,3.88,Grazer,Coalitions,terrestrial,Nocturnal,2.91
Potamochoerus larvatus,76.6,Browser/Frugivore,Family,terrestrial,Nocturnal,2.5
Nesotragus moschatus,5.7,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Petrodromus tetradactylus,0.209,Insectivore,Solitary/pairs,terrestrial,Crepuscular,1.1
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Poecilogale albinucha,0.274,Carnivore,Solitary/pairs,terrestrial,Nocturnal,2.25
Mungos mungo,1.28,Insectivore,Gregarious,terrestrial,Diurnal,2.45
Genetta maculata,1.88,Zoophage,Solitary/pairs,scansorial,Nocturnal,2.51
Ictonyx striatus,0.98,Carnivore,Solitary/pairs,scansorial,Nocturnal,2
Philantomba monticola,5.55,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Sylvicapra grimmia,16.2,Browser,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Leptailurus serval,12.72,Carnivore,Solitary/pairs,terrestrial,Non-restricted,2.5
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Herpestes ichneumon,3.17,Carnivore,Coalitions,terrestrial,Non-restricted,3.05
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
Tragelaphus scriptus,42.3,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Canis adustus,10.29,Omnivore,Coalitions,terrestrial,Nocturnal,4
Ichneumia albicauda,4.09,Zoophage,Solitary/pairs,scansorial,Nocturnal,2.3
Crocuta crocuta,65.03,Carnivore,Gregarious,terrestrial,Nocturnal/Crepuscular,2
Orycteropus afer,63.67,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Herpestes sanguineus,0.68,Carnivore,Coalitions,scansorial,Diurnal,2
Hystrix africaeaustralis,16,Browser/Frugivore,Family,terrestrial,Nocturnal,1.87
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
