Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Conepatus semistriatus,1.2,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.5
Cuniculus paca,8.28,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,1.5
Dasyprocta punctata,3.6,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1.9
Dasypus novemcinctus,4.2,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Didelphis marsupialis,1.09,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Eira barbara,3.91,Zoophage,Coalitions,scansorial,Diurnal,2
Leopardus pardalis,11.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Leopardus wiedii,3.25,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Mazama temama,22.8,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1.2
Metachirus nudicaudatus,0.375,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
Nasua narica,4.03,Omnivore,Gregarious,scansorial,Diurnal,4.17
Odocoileus virginianus,55.5,Browser,Family,terrestrial,Crepuscular,1.7
Panthera onca,92.45,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Pecari tajacu,18.5,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
Philander opossum,0.421,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.5
Procyon lotor,5.525,Omnivore,Solitary/pairs,scansorial,Nocturnal,4
Proechimys semispinosus,0.361,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.5
Puma concolor,51.6,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Puma yagouaroundi,8.4,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Sciurus granatensis,0.25,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.9
Tapirus bairdii,240,Browser,Solitary/pairs,terrestrial,Nocturnal,1
