Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Tapirus bairdii,240,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Leopardus tigrinus,2.1,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Philander opossum,0.421,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.5
Panthera onca,92.45,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Dasyprocta punctata,3.6,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1.9
Hoplomys gymnurus,0.4,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,2.1
Myrmecophaga tridactyla,28.2,Insectivore,Solitary/pairs,terrestrial,Non-restricted,1
Cabassous centralis,3.16,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Proechimys semispinosus,0.361,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.5
Galictis vittata,2.58,Carnivore,Family,terrestrial,Non-restricted,2.1
Puma concolor,51.6,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Mazama temama,22.8,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1.2
Conepatus semistriatus,1.2,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.5
Sciurus granatensis,0.25,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.9
Spilogale angustifrons,0.455,Zoophage,Solitary/pairs,scansorial,Nocturnal,5.29
Nasua narica,4.03,Omnivore,Gregarious,scansorial,Diurnal,4.17
Dasypus novemcinctus,4.2,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Didelphis marsupialis,1.09,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Didelphis virginiana,2.41,Omnivore,Solitary/pairs,scansorial,Nocturnal,8.11
Pecari tajacu,18.5,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
Urocyon cinereoargenteus,4.42,Omnivore,Family groups,scansorial,Nocturnal/Crepuscular,3.8
Eira barbara,3.91,Zoophage,Coalitions,scansorial,Diurnal,2
Leopardus wiedii,3.25,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Odocoileus virginianus,55.5,Browser,Family,terrestrial,Crepuscular,1.7
Metachirus nudicaudatus,0.375,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
Cuniculus paca,8.28,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,1.5
Leopardus pardalis,11.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Puma yagouaroundi,8.4,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Mustela freneta,0.171,Carnivore,Solitary/pairs,scansorial,Non-restricted,6.35
Sylvilagus brasiliensis,0.92,Browser Grazer,Solitary/pairs,terrestrial,Nocturnal,1.9
Canis latrans,13.6,Carnivore,Family,terrestrial,Non-restricted,5.66
Procyon lotor,5.525,Omnivore,Solitary/pairs,scansorial,Nocturnal,4
