Species,Body Mass,Diet,Social,Habitat,Activity,Litter
Atelocynus microtis,8.93,Zoophage,Solitary/pairs,terrestrial,Non-restricted,2.5
Cabassous unicinctus,4.75,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Cuniculus paca,8.28,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,1.5
Dasyprocta fuliginosa,3.65,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,2
Dasypus kappleri,9.7,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,5.6
Dasypus novemcinctus,4.2,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Didelphis marsupialis,1.09,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Eira barbara,3.91,Zoophage,Coalitions,scansorial,Diurnal,2
Leopardus pardalis,11.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Leopardus wiedii,3.25,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Mazama americana,35.27,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.26
Metachirus nudicaudatus,0.375,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
Myrmecophaga tridactyla,28.2,Insectivore,Solitary/pairs,terrestrial,Non-restricted,1
Nasua nasua,4.15,Omnivore,Gregarious,scansorial,Diurnal,3.84
Panthera onca,92.45,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Pecari tajacu,18.5,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
Procyon cancrivorus,6.83,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.81
Puma concolor,51.6,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Puma yagouaroundi,8.4,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Sciurus spadiceus,0.51,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,2
Speothos venaticus,6.16,Carnivore,Family,terrestrial,Non-restricted,4.05
Tapirus terrestris,183,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Tremarctos ornatus,126.5,Browser/Frugivore,Solitary/pairs,scansorial,Diurnal,1.66
