Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Philander andersoni,0.38,Omnivore,Solitary/pairs,scansorial,Nocturnal,3.7
Dasyprocta fuliginosa,3.65,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,2
Sciurus igniventris,0.7,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,2
Puma concolor,51.6,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Proechimys brevicauda,0.34,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.5
Dasypus novemcinctus,4.2,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Didelphis marsupialis,1.09,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Proechimys simonsi,0.285,Frugivore/Seed predator,Solitary/pairs,scansorial,Nocturnal,2
Myoprocta pratti,1,Frugivore/Seed Predator,Family,terrestrial,Diurnal,2
Tapirus terrestris,183,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Sciurus spadiceus,0.51,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,2
Atelocynus microtis,8.93,Zoophage,Solitary/pairs,terrestrial,Non-restricted,2.5
Pecari tajacu,18.5,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
Mustela africana,0.25,Carnivore,Coalitions,scansorial,Non-restricted,6.35
Dasypus kappleri,9.7,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,5.6
Proechimys cuvieri,0.316,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,2.5
Eira barbara,3.91,Zoophage,Coalitions,scansorial,Diurnal,2
Leopardus wiedii,3.25,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Mazama nemorivaga,14.75,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Tayassu pecari,31.2,Browser/Frugivore,Gregarious,terrestrial,Non-restricted,2
Mazama americana,35.27,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.26
Panthera onca,92.45,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Metachirus nudicaudatus,0.375,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
Priodontes maximus,34.75,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1.29
Cuniculus paca,8.28,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Nocturnal,1.5
Leopardus pardalis,11.9,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Puma yagouaroundi,8.4,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Galictis vittata,2.58,Carnivore,Family,terrestrial,Non-restricted,2.1
Speothos venaticus,6.16,Carnivore,Family,terrestrial,Non-restricted,4.05
Cabassous unicinctus,4.75,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Myrmecophaga tridactyla,28.2,Insectivore,Solitary/pairs,terrestrial,Non-restricted,1
Nasua nasua,4.15,Omnivore,Gregarious,scansorial,Diurnal,3.84
Sylvilagus brasiliensis,0.92,Browser Grazer,Solitary/pairs,terrestrial,Nocturnal,1.9
Leopardus tigrinus,2.1,Carnivore,Solitary/pairs,scansorial,Non-restricted,2
Procyon cancrivorus,6.83,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.81
