Species,Site
Helarctos malayanus,BBS
Panthera tigris,BBS
Dicerorhinus sumatrensis,BBS
Elephas maximus,BBS
Tapirus indicus,BBS
Capricornis sumatraensis,BBS
Neofelis diardi,BBS
Tupaia glis,BBS
Tragulus napu,BBS
Herpestes brachyurus,BBS
Mustela nudipes,BBS
Leopoldamys sabanus,BBS
Martes flavigula,BBS
Rusa unicolor,BBS
Viverra tangalunga,BBS
Hemigalus derbyanus,BBS
Tragulus kanchil,BBS
Rhinosciurus laticaudatus,BBS
Sundasciurus hippurus,BBS
Lariscus insignis,BBS
Sundamys muelleri,BBS
Trichys fasciculata,BBS
Echinosorex gymnura,BBS
Sus scrofa,BBS
Rattus rattus,BBS
Prionailurus bengalensis,BBS
Tupaia tana,BBS
Mydaus javanensis,BBS
Cuon alpinus,BBS
Muntiacus muntjak,BBS
Maxomys surifer,BBS
Macaca nemestrina,BBS
Rhizomys sumatrensis,BBS
Rattus norvegicus,BBS
Hystrix brachyura,BBS
Manis javanica,BBS
Muntiacus montanus,BBS
Pardofelis marmorata,BBS
Pardofelis temminckii,BBS
Prionodon linsang,BBS
Tragulus javanicus,BBS
Tayassu pecari,BCI
Procyon cancrivorus,BCI
Cabassous centralis,BCI
Hoplomys gymnurus,BCI
Dasyprocta punctata,BCI
Proechimys semispinosus,BCI
Puma concolor,BCI
Panthera onca,BCI
Philander opossum,BCI
Sciurus granatensis,BCI
Galictis vittata,BCI
Tapirus bairdii,BCI
Mazama temama,BCI
Dasypus novemcinctus,BCI
Didelphis marsupialis,BCI
Pecari tajacu,BCI
Nasua narica,BCI
Eira barbara,BCI
Leopardus wiedii,BCI
Metachirus nudicaudatus,BCI
Cuniculus paca,BCI
Leopardus pardalis,BCI
Speothos venaticus,BCI
Sylvilagus brasiliensis,BCI
Urocyon cinereoargenteus,BCI
Odocoileus virginianus,BCI
Procyon lotor,BCI
Mustela freneta,BCI
Canis latrans,BCI
Puma yagouaroundi,BCI
Myrmecophaga tridactyla,BCI
Canis aureus,BIF
Chlorocebus tantalus,BIF
Cercopithecus lhoesti,BIF
Gorilla beringei,BIF
Otomys denti,BIF
Otomys tropicalis,BIF
Funisciurus carruthersi,BIF
Pan troglodytes,BIF
Funisciurus pyrropus,BIF
Panthera pardus,BIF
Mungos mungo,BIF
Hylochoerus meinertzhageni,BIF
Genetta maculata,BIF
Cephalophus weynsi,BIF
Mylomys dybowskii,BIF
Syncerus caffer,BIF
Ictonyx striatus,BIF
Crocuta crocuta,BIF
Ichneumia albicauda,BIF
Herpestes sanguineus,BIF
Leptailurus serval,BIF
Philantomba monticola,BIF
Thryonomys gregorianus,BIF
Orycteropus afer,BIF
Potamochoerus larvatus,BIF
Rattus rattus,BIF
Tragelaphus spekii,BIF
Procavia capensis,BIF
Atherurus africanus,BIF
Cephalophus silvicultor,BIF
Papio anubis,BIF
Poecilogale albinucha,BIF
Cricetomys emini,BIF
Caracal aurata,BIF
Canis adustus,BIF
Genetta servalina,BIF
Tragelaphus scriptus,BIF
Herpestes ichneumon,BIF
Atilax paludinosus,BIF
Sylvicapra grimmia,BIF
Civettictis civetta,BIF
Thryonomys swinderianus,BIF
Cephalophus nigrifrons,BIF
Mellivora capensis,BIF
Loxodonta africana,BIF
Cricetomys gambianus,BIF
Phataginus tricuspis,BIF
Sciurus aestuans,CAX
Proechimys goeldii,CAX
Proechimys roberti,CAX
Tapirus terrestris,CAX
Galictis vittata,CAX
Cabassous unicinctus,CAX
Leopardus tigrinus,CAX
Speothos venaticus,CAX
Myrmecophaga tridactyla,CAX
Mazama nemorivaga,CAX
Cuniculus paca,CAX
Panthera onca,CAX
Procyon cancrivorus,CAX
Priodontes maximus,CAX
Nasua nasua,CAX
Mazama americana,CAX
Leopardus pardalis,CAX
Philander opossum,CAX
Tayassu pecari,CAX
Leopardus wiedii,CAX
Puma yagouaroundi,CAX
Dasypus kappleri,CAX
Eira barbara,CAX
Mustela africana,CAX
Pecari tajacu,CAX
Dasypus septemcinctus,CAX
Euphractus sexcinctus,CAX
Myoprocta pratti,CAX
Didelphis marsupialis,CAX
Dasypus novemcinctus,CAX
Puma concolor,CAX
Atelocynus microtis,CAX
Dasyprocta leporina,CAX
Metachirus nudicaudatus,CAX
Proechimys pattoni,COU
Sciurus sanborni,COU
Mazama chunyi,COU
Odocoileus virginianus,COU
Sciurus ignitus,COU
Proechimys simonsi,COU
Proechimys brevicauda,COU
Sciurus spadiceus,COU
Proechimys steerei,COU
Dinomys branickii,COU
Atelocynus microtis,COU
Sciurus igniventris,COU
Tapirus terrestris,COU
Pecari tajacu,COU
Eira barbara,COU
Tayassu pecari,COU
Leopardus wiedii,COU
Mazama americana,COU
Philander opossum,COU
