Site,FPoolRich,Landcover div,ndvi,hum.dens.ZOI,Distance to Settlement,FR.Lost,Frich,Fdis,FDisUW,FDisSPUW,Bioregion,Asia,Africa,Neotropics,Madagascar,Frich w ext,Frich uw,Fdis uw,Fpool uw,Frich uw w ext,FR.Lost uw
BBS,0.018334657,0.156,0.467,0.07,5089,0,0.014199076,0.241853,0.267266,0.2680835,Asia,1,0,0,0,0.014199076,61.4464241,3.014798,69.5739834,61.4464241,0
BCI,0.011529508,0.318,0.649,1.22,5441,0.000685423,0.009446452,0.2695799,0.2701354,0.2723693,Neotropics,0,0,1,0,0.010131875,32.3475492,3.140104,34.471073,32.5700324,0.2224832
BIF,0.020744288,0.286,0.532,3.58,13686,0.000679596,0.014096011,0.2702958,0.2824069,0.2854488,Africa,0,1,0,0,0.014775606,63.9653983,2.956793,112.3647728,72.3273891,8.3619908
CAX,0.012821637,0.088,0.423,0.01,42624,0,0.007398471,0.2572798,0.2463471,0.2508198,Neotropics,0,0,1,0,0.007398471,26.0931924,3.176363,34.1945536,26.0931924,0
COU,0.012637984,0.204,0.104,0,10852,0,0.008686622,0.2308579,0.2557894,0.2554536,Neotropics,0,0,1,0,0.008686622,25.9269941,3.046766,35.3950599,25.9269941,0
CSN,0.013513683,0.043,0.124,0,36785,0,0.01143547,0.2319487,0.2625379,0.2609648,Neotropics,0,0,1,0,0.01143547,35.2002865,3.046931,37.4976465,35.2002865,0
KRP,0.018513738,0.058,0.316,0.22,9896,0.003921159,0.007793104,0.2480309,0.2671691,0.2819872,Africa,0,1,0,0,0.011714263,30.1094352,2.885872,92.3786728,48.9420304,18.8325952
NAK,0.020600093,0.11,0.058,0.16,3782,0.001069582,0.013709975,0.2504147,0.2660881,0.2610596,Asia,1,0,0,0,0.014779556,31.7781545,2.719604,85.5046747,34.6272205,2.849066
NNN,0.018464918,0.002,0.12,0,57278,0,0.015916552,0.2668109,0.2730768,0.2802473,Africa,0,1,0,0,0.015916552,81.5439687,3.226412,95.9806396,81.5439687,0
PSH,0.017580314,0.619,0.577,0.49,10090,0,0.013994529,0.2668664,0.2652162,0.2694448,Asia,1,0,0,0,0.013994529,47.1008306,3.066389,63.3518615,47.1008306,0
RNF,0.00044225,0.409,0.599,0.71,3780,0,0.00044225,0.2618553,0.2464049,0.2464049,Madagascar,0,0,0,1,0.00044225,0.7597964,2.915436,0.7597964,0.7597964,0
UDZ,0.019011143,0.92,0.547,0.32,5081,0,0.016497756,0.2670508,0.2694169,0.2667221,Africa,0,1,0,0,0.016497756,71.8440175,3.266601,89.8975205,71.8440175,0
VB,0.013424498,0.198,0.109,2.59,4515,0,0.008264768,0.1984659,0.2634275,0.2675888,Neotropics,0,0,1,0,0.008264768,26.0742142,2.821269,36.9443327,26.0742142,0
YAN,0.016771733,0.136,0.507,0.06,23696,0,0.012401791,0.263166,0.2514701,0.2462266,Neotropics,0,0,1,0,0.012401791,31.2125474,3.101566,37.0241577,31.2125474,0
YAS,0.01148168,0.04,0.44,0.04,20206,0,0.011414894,0.2564278,0.2586853,0.2551893,Neotropics,0,0,1,0,0.011414894,33.2650394,3.12439,33.6383672,33.2650394,0
